Action, Time
watched menue,30.04.2021, 19:43:56
watched restaurant's menue,30.04.2021, 19:44:00
watched rating,30.04.2021, 19:44:10
ordered,06.05.2021, 19:02:08
ordered,06.05.2021, 19:02:29
logged in,06.05.2021, 23:30:24
watched menue,06.05.2021, 23:30:40
ordered,06.05.2021, 23:35:01
ordered,06.05.2021, 23:36:34
ordered,06.05.2021, 23:37:07
watched orders,06.05.2021, 23:37:14
added beverage,06.05.2021, 23:38:42
ordered,06.05.2021, 23:52:08
watched orders,06.05.2021, 23:52:12
watched orders in progress,06.05.2021, 23:52:28
added beverage,06.05.2021, 23:54:06
added food,06.05.2021, 23:58:10
ordered,07.05.2021, 24:21:25
watched orders,07.05.2021, 24:21:33
logged in,07.05.2021, 24:22:26
ordered,07.05.2021, 24:23:09
watched orders,07.05.2021, 24:23:17
ordered,07.05.2021, 24:27:13
ordered,07.05.2021, 24:28:33
added food,24.05.2021, 12:55:53
registered,24.05.2021, 13:06:46
added food,24.05.2021, 13:08:46
added beverage,24.05.2021, 13:50:54
added beverage,24.05.2021, 13:54:20
added beverage,24.05.2021, 13:55:41
added beverage,24.05.2021, 13:56:40
added driver,24.05.2021, 14:06:36
added driver,24.05.2021, 14:37:08
added driver,24.05.2021, 18:00:52
added driver,27.05.2021, 20:45:25